id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Like
38ydcsbayM4oX21Hhu84DT,Every Time the Sun Comes Up,Sharon Van Etten,0.663,0.522,1,-8.741,1,0.392,5.41e-06,0.197,0.301,99.765,262520,4,1
1cojywlfxjSzY4xuYYQOmP,Aaaaaaaaaaaaa,Mahmed,0.493,0.392,5,-8.316,0,0.409,0.209,0.149,0.131,85.408,216256,4,1
76bcaYeKOKTrj9lEc9BZFU,Quando Bate Aquela Saudade,Rubel,0.55,0.314,7,-14.133,1,0.895,0.0107,0.188,0.595,90.088,394707,4,1
6BMGNCRJnwuwp3UVVCXry8,Homage,Mild High Club,0.547,0.464,5,-8.167,1,0.152,0.00292,0.321,0.442,73.366,177493,4,1
7kgMtZHgem1PlJhuP7vbur,Rivers And Roads,The Head and the Heart,0.487,0.199,0,-8.931,1,0.726,3.91e-05,0.0755,0.164,137.873,284000,3,1
5yVfyUXiFntXBFVHcTXdax,Esse Olhar Que Era Só Teu,Dead Combo,0.486,0.197,2,-11.582,0,0.85,0.852,0.105,0.3,91.882,352960,4,1
09JRFc5o6X3UsQzoF5ICqg,Serotonina,Diego Lorenzini,0.618,0.299,1,-13.816,0,0.989,0.00261,0.131,0.434,96.457,186272,4,1
0ntyYV99MFp7f7MGZlwYj4,Whatever Comes to Mind,MorMor,0.542,0.468,10,-7.796,1,0.579,0.104,0.112,0.252,130.829,249305,4,1
5cTYDnu85n8QczxwoTd6jP,Twenty Four,Walter Benjamin,0.64,0.279,7,-13.031,1,0.353,0.151,0.0927,0.429,114.988,237413,3,1
2DmEvNxGJOLyuQBf4NR22o,O Peso do Meu Coração,Castello Branco,0.562,0.284,4,-10.881,0,0.815,0.51,0.125,0.0474,76.912,380390,4,1
42H6GeQfrBkT3vTUTdpB1M,Please Never Fall in Love Again,Ollie MN,0.646,0.0828,10,-16.205,1,0.838,1.2e-05,0.0934,0.293,108.826,154000,4,1
4QwzVlAJSkcLeCNQ6Ug30P,The touch of your lips,Chet Baker,0.478,0.00776,10,-24.986,1,0.983,0.78,0.105,0.215,114.27,499533,4,1
1uliNs1keVwYclj74JX44R,Decimal,Novo Amor,0.511,0.435,7,-8.438,1,0.886,0.223,0.0822,0.346,159.071,178627,4,1
6vG1pcmNGdG6Vu62I9nLGL,K.,Rosie Carney,0.348,0.226,3,-10.918,1,0.962,0.00483,0.135,0.173,129.251,269000,3,1
37adNHvszWoS1kINkE99Ja,On the Train Ride Home,The Paper Kites,0.611,0.195,6,-18.629,1,0.806,0.101,0.112,0.203,103.007,227200,4,1
1wcAKUbAyMRy0uSsFbyiCv,Mice,Billie Marten,0.65,0.195,5,-12.569,1,0.695,1.26e-05,0.0851,0.363,122.908,244261,3,1
78e02OxzIocXs21FqQ4UGK,Foreign Hands,George Ogilvie,0.406,0.449,3,-8.738,0,0.52,0.0,0.0942,0.335,140.008,258531,4,1
0NJ1LV5VblYyJsJt3EbAx7,Rose Petals,S. Carey,0.562,0.282,10,-11.956,1,0.888,0.00297,0.0812,0.172,127.964,213667,4,1
6oVm5ocTB8B0rjO5dZk8Px,Ayahuasca,Vancouver Sleep Clinic,0.463,0.228,4,-15.717,0,0.734,0.11,0.0691,0.0528,148.003,508602,4,1
1L0mf9NDoWLR207WSrQlXd,Estar à Espera ou Procurar,B Fachada,0.577,0.68,10,-11.655,1,0.391,0.00032,0.127,0.852,92.478,156507,4,1
4LiSXw8550M0SCQK03D65g,É Normal,B Fachada,0.766,0.495,2,-15.139,1,0.238,0.754,0.113,0.879,123.988,176867,4,1
0GD1RP6CWeFtG7zw6J8LKL,Afro-Xula,B Fachada,0.635,0.703,5,-10.767,1,0.00869,1.4e-05,0.0589,0.732,93.012,212973,4,1
74utSUgzHXbskV9KzTq8ww,Quem Quer Fumar com o B Fachada,B Fachada,0.648,0.435,6,-14.498,1,0.276,0.239,0.11,0.584,85.977,230800,4,1
70ENYnHaQ8UfSYjsogc6yx,Tendinite,B Fachada,0.672,0.757,4,-9.377,1,0.0715,0.507,0.0627,0.98,131.969,144720,4,1
1HOUuSeK6VV1pkuj2L9Zwe,98,B Fachada,0.619,0.742,2,-9.305,1,0.000721,0.0564,0.112,0.937,109.988,197213,4,1
0421HqI0wndr3EDq8tRi70,Carlos T,B Fachada,0.672,0.737,4,-9.834,0,0.144,0.116,0.133,0.965,130.026,239760,4,1
5NfhgPuyfscfo71KxtNpdq,BalaDona,B Fachada,0.166,0.288,9,-12.31,1,0.172,0.971,0.0541,0.0763,126.917,280907,4,1
5zdqtW0C4EV4JBXkioHXIu,Sozinho no Róque,B Fachada,0.403,0.123,1,-18.801,1,0.925,0.96,0.0919,0.0667,67.481,213307,4,1
0c7mH28yRoNE0Gp6SMQ28f,Roupa de Estrada,B Fachada,0.586,0.102,2,-15.568,1,0.906,0.716,0.136,0.0758,97.008,442093,3,1
6GXO0C9U0I5Q4C4Ndh7aQF,Cantar o Apelo,B Fachada,0.325,0.307,3,-11.347,1,0.936,0.842,0.125,0.152,92.361,153800,4,1
1CMEqXGsz3fCUExcz0loFu,Está Na Hora Da Passa,B Fachada,0.504,0.533,3,-8.957,1,0.93,0.633,0.126,0.522,130.045,313187,4,1
7I2fUZVzjCeUGFFM5fw9oD,Untitled,B Fachada,0.351,0.446,3,-11.78,1,0.907,0.225,0.2,0.196,120.972,98827,4,1
