id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Like,key_object
1CMEqXGsz3fCUExcz0loFu,Está Na Hora Da Passa,B Fachada,0.504,0.5329999999999999,3,-8.957,1,0.93,0.633,0.126,0.522,130.045,313187,4,1,D♯
7I2fUZVzjCeUGFFM5fw9oD,Untitled,B Fachada,0.35100000000000003,0.446,3,-11.78,1,0.907,0.225,0.2,0.196,120.97200000000001,98827,4,1,D♯
0eac7pxelDpTeY71oJCdRz,Barriga pelo Amigo,B Fachada,0.557,0.20199999999999999,8,-19.105999999999998,1,0.9840000000000001,0.91,0.11199999999999999,0.27,111.113,363333,3,1,G♯
5lf2CVRjVDsSdF3iZ5t0VW,Não Pratico Habilidades,B Fachada,0.7,0.124,9,-17.904,0,0.917,0.188,0.0953,0.0624,107.939,259333,4,1,A
3Nalvb5q9qlytNFO2DEfkj,Os 2 No Polibã,B Fachada,0.33299999999999996,0.191,7,-15.993,0,0.914,0.589,0.141,0.0962,112.13600000000001,244427,4,1,G
5rukCrVfbHZrQBh9E6qmmt,Mané-Mané,B Fachada,0.466,0.0528,0,-12.280999999999999,1,0.18600000000000003,0.168,0.16,0.7290000000000001,140.765,407440,4,1,C
6QodzBQyTsVX0WkeeABRzR,Dia de Natal,B Fachada,0.815,0.879,3,-6.981,1,0.19399999999999998,0.007540000000000001,0.107,0.848,137.954,181773,4,1,D♯
57Xf2dO5J42F5K4Mnr58lf,Questões de moral,B Fachada,0.8340000000000001,0.455,11,-9.273,0,0.882,0.00013700000000000002,0.133,0.514,114.869,189093,4,1,B
46CLiO72QTcysFzRI1FH62,Conselhos de Avô,B Fachada,0.6559999999999999,0.7859999999999999,6,-6.337999999999999,1,0.499,0.00253,0.124,0.845,160.024,170853,4,1,F♯
39Cn61nbDlm57j2cmUYP7p,Primeiro Dia (Com Francisca Cortesāo),B Fachada,0.8420000000000001,0.445,0,-8.354,1,0.7090000000000001,1.05e-06,0.11800000000000001,0.885,100.04700000000001,177613,4,1,C
2ODLvT7JcIRulMk7OaDWOS,A Casa Do Manel,B Fachada,0.525,0.36200000000000004,6,-11.11,1,0.627,1.03e-06,0.107,0.243,149.799,234707,4,1,F♯
60L4iESVZr0TC23G80W8Zg,Mochila do Carteiro,B Fachada,0.752,0.29100000000000004,2,-11.967,1,0.7929999999999999,0.000183,0.109,0.662,130.031,251960,3,1,D
7cuZWZ7kMLg3qYGHWgCaAf,Agosto,B Fachada,0.46399999999999997,0.158,8,-14.057,1,0.905,4.28e-05,0.1,0.275,87.969,247840,3,1,G♯
0f8GvBm9ktqoJmtXH25Zzu,Barrigāo (Com Lula Pena),B Fachada,0.505,0.342,0,-12.319,1,0.858,0.0027199999999999998,0.079,0.275,145.257,226773,5,1,C
4dcR2EfnHHjxTK6dH5Vn1m,O Futuro,B Fachada,0.67,0.225,6,-12.5,1,0.336,1.64e-05,0.113,0.168,99.95,222213,4,1,F♯
0lQfRCpRUBcRauZ76hy7ae,Responso Para Maridos Transviados,B Fachada,0.16699999999999998,0.151,7,-13.427,1,0.93,0.0008730000000000001,0.124,0.14,71.34899999999999,177800,4,1,G
1p6UaBDaGPbhyBtQ1Qzqi8,Cantiga de Amigo,B Fachada,0.49200000000000005,0.34600000000000003,8,-14.27,1,0.904,0.0631,0.10300000000000001,0.39899999999999997,79.11399999999999,173547,4,1,G♯
0TyqAF4LnaTwn9Z6GbZbmm,O Desamor,B Fachada,0.6629999999999999,0.21100000000000002,4,-15.637,1,0.8490000000000001,0.00402,0.106,0.20600000000000002,106.508,236067,5,1,E
6DWKIpXO46knzMJV8Jw5ZE,A Velha Europa,B Fachada,0.525,0.564,5,-12.073,1,0.813,0.948,0.09300000000000001,0.815,91.02799999999999,149853,3,1,F
1L0mf9NDoWLR207WSrQlXd,Estar à Espera ou Procurar,B Fachada,0.5770000000000001,0.68,10,-11.655,1,0.391,0.00032,0.127,0.852,92.478,156507,4,1,A♯
5CPdWKS0ZISetuwGi2O52e,Setembro,B Fachada,0.504,0.38299999999999995,7,-12.752,1,0.7070000000000001,0.000595,0.0971,0.741,174.56599999999997,154787,3,1,G
6Ja15GPs2LZxzsg583LjqS,O Teu Azar,B Fachada,0.619,0.16899999999999998,9,-17.743,1,0.9279999999999999,0.00043099999999999996,0.0858,0.221,85.81299999999999,139320,4,1,A
01gNPsM8DAo4dAbeklUEug,A Bela Helena,B Fachada,0.797,0.255,4,-13.95,1,0.674,6.709999999999999e-05,0.10099999999999999,0.5429999999999999,89.995,251293,4,1,E
3Fu3cANl1EZZf8htnS0ndG,Kit de Prestidigitação,B Fachada,0.605,0.611,4,-10.517999999999999,1,0.23399999999999999,0.00037400000000000004,0.258,0.922,67.545,199587,4,1,E
51rXHuKN8Loc4sUlKPODgH,"King's Dead (with Kendrick Lamar, Future & James Blake)",James Blake,0.645,0.705,1,-5.008,1,0.000813,0.0,0.128,0.376,137.13299999999998,229670,4,1,C♯
4bzd4evyqXabRtesx4emPn,Grieving (feat. James Blake),James Blake,0.687,0.527,1,-4.343999999999999,1,0.373,1.07e-06,0.21600000000000003,0.6509999999999999,126.087,230573,4,1,C♯
4KXwFI9pgJLpUIAc9oSL8j,Bloody Waters (with Anderson .Paak & James Blake),James Blake,0.507,0.606,8,-8.758,1,0.185,0.0,0.174,0.20199999999999999,180.607,272307,4,1,G♯
33BnSMHgX0AsbKSIbkuMwh,Limit To Your Love,James Blake,0.775,0.281,10,-10.216000000000001,0,0.5489999999999999,0.242,0.0941,0.0398,139.94899999999998,276720,4,1,A♯
2zUYg51Df8nLuymwI67mzk,Assume Form,James Blake,0.413,0.349,4,-10.360999999999999,0,0.8859999999999999,0.000195,0.091,0.14800000000000002,139.274,289600,4,1,E
6gWo0JYLA6Dnw40WIx1MTl,Mile High (feat. Travis Scott & Metro Boomin),Metro Boomin,0.754,0.37,6,-9.854,0,0.40299999999999997,6.22e-05,0.107,0.228,114.941,193600,4,1,F♯
6b1eq00KotcEnBTn51ELAz,Tell Them (feat. Moses Sumney & Metro Boomin),Metro Boomin,0.58,0.469,8,-8.655,0,0.778,6.790000000000001e-05,0.099,0.289,176.019,208400,4,1,G♯
5T4l3jMleCgNMmeYRPYvnS,Into The Red,James Blake,0.508,0.47,1,-9.011000000000001,1,0.586,0.0556,0.134,0.151,173.838,257200,4,1,C♯
3rDIv69iKUGLFAScfHwCYd,Barefoot In The Park (feat. ROSALÍA),ROSALÍA,0.5579999999999999,0.632,9,-8.339,0,0.8320000000000001,0.105,0.198,0.519,161.764,211200,4,1,A
03NtFY8KBtBsLQg2E9rVDI,Can't Believe The Way We Flow,James Blake,0.259,0.536,8,-10.309000000000001,1,0.705,0.0005009999999999999,0.43200000000000005,0.29,143.94799999999998,267200,4,1,G♯
48TwC1IPK9g9r6xYMseKZ0,Are You In Love?,James Blake,0.557,0.278,8,-12.353,1,0.723,2.24e-05,0.0755,0.335,147.681,197600,4,1,G♯
3zuPiPjLdL9aDnyUZcgONy,Where's The Catch? (feat. André 3000),André 3000,0.746,0.56,5,-9.02,0,0.649,0.0005769999999999999,0.107,0.172,91.988,276000,4,1,F
0ZMBqlhWnSlR4KCiUfLL8i,I'll Come Too,James Blake,0.6609999999999999,0.47200000000000003,7,-7.888999999999999,1,0.757,0.00275,0.192,0.20600000000000002,73.986,222400,4,1,G
2qNUaGPyb4HhCutBS0Z0hF,Power On,James Blake,0.649,0.46799999999999997,2,-10.950999999999999,1,0.8490000000000001,0.0070599999999999994,0.106,0.618,92.48899999999999,246400,4,1,D
5VYCCPct242jtbidE13EKK,Don't Miss It,James Blake,0.52,0.341,9,-12.66,1,0.8420000000000001,0.0193,0.0971,0.052000000000000005,140.914,299200,4,1,A
1HH74T0lQrV21hkc5KmPZ5,Mulholland,James Blake,0.46,0.512,1,-12.602,1,0.556,0.47200000000000003,0.14800000000000002,0.266,110.68799999999999,190541,4,1,C♯
2ChIDG3Ae88OSrocGzjZzT,Lullaby For My Insomniac,James Blake,0.318,0.0297,10,-16.581,1,0.9570000000000001,0.00117,0.0969,0.0624,129.70600000000002,223800,5,1,A♯
0ZPPbwJD2WVU8HdMsVtChk,Radio Silence,James Blake,0.532,0.41200000000000003,2,-9.641,1,0.773,0.0234,0.106,0.41700000000000004,120.086,240537,4,1,D
6dSCIGteGmVCCH39hxuddz,Points,James Blake,0.263,0.223,11,-17.334,0,0.9259999999999999,0.266,0.154,0.11,76.078,211407,4,1,B
1C0WuqxJFwspf1lc0v4qhZ,Love Me In Whatever Way,James Blake,0.318,0.48200000000000004,8,-11.677,0,0.861,0.004520000000000001,0.185,0.23600000000000002,123.48899999999999,303463,4,1,G♯
49jxn2Mdde8QZUx0AlbD0l,Timeless,James Blake,0.682,0.324,11,-10.652999999999999,0,0.0594,0.184,0.121,0.493,139.976,262000,4,1,B
73Uc6U9BTEFoGP5ywB6MLr,f.o.r.e.v.e.r.,James Blake,0.42,0.0375,10,-17.351,0,0.972,5.68e-05,0.0975,0.159,128.997,160512,3,1,A♯
1qBk8jyJmxeXAbbrZ1thxL,Put That Away And Talk To Me,James Blake,0.746,0.265,6,-12.179,0,0.478,4.5e-06,0.237,0.237,116.948,237627,4,1,F♯
2B7snFRWcKkZsH7AR4cuRR,I Hope My Life - 1-800 Mix,James Blake,0.6409999999999999,0.34299999999999997,11,-13.6,0,0.349,1.4300000000000002e-05,0.14300000000000002,0.23199999999999998,125.012,340392,4,1,B
6CaixeaNllgzmFcfMhAeD8,Waves Know Shores,James Blake,0.222,0.138,10,-17.477,1,0.909,0.222,0.126,0.0677,78.473,175558,1,1,A♯
6JHqijXeoR9S3DzvDm4VO5,My Willing Heart,James Blake,0.5,0.177,10,-13.374,0,0.7559999999999999,0.0057799999999999995,0.0764,0.31,109.98100000000001,242651,4,1,A♯
2N8uCUNl2R6q6sXfG42Vur,Choose Me,James Blake,0.414,0.56,10,-9.859,0,0.532,0.747,0.168,0.20199999999999999,74.179,338432,4,1,A♯
3mUGTZQ7SctWdmDMukT6tJ,Noise Above Our Heads,James Blake,0.748,0.3,11,-12.16,0,0.825,0.302,0.106,0.39899999999999997,124.03200000000001,303543,4,1,B
2YItmEbRbOhAHevysQ1QLr,The Colour In Anything,James Blake,0.39299999999999996,0.0791,5,-13.342,1,0.9790000000000001,0.0325,0.0967,0.12,135.491,213621,4,1,F
7qbuX4vj6cGIs96gIMh6b7,Two Men Down,James Blake,0.588,0.52,0,-12.839,0,0.0657,0.00343,0.145,0.419,100.01899999999999,361983,4,1,C
0ADFdBeamLf1sUlXnd91SE,Modern Soul,James Blake,0.287,0.415,1,-11.311,0,0.276,0.000811,0.105,0.174,70.418,332788,4,1,C♯
6vcqur8XelCD3GJLVQB87I,Always,James Blake,0.29100000000000004,0.237,1,-13.185,1,0.501,2.57e-05,0.14800000000000002,0.129,103.206,304556,4,1,C♯
