id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4TgHt7vKCimpywaiKfl0uj,Make It Rain,Rowdy Rebel,0.54,0.77,1.0,-3.981,1.0,0.194,2.74e-05,0.372,0.565,159.494,204000.0,4.0
3Z8FwOEN59mRMxDCtb8N0A,Be Kind (with Halsey),Halsey,0.63,0.633,4.0,-7.088,1.0,0.00776,0.0,0.0541,0.452,93.995,172762.0,4.0
6WbTTAGKrQtCQvmc5BuYfh,Girls in the Hood,Megan Thee Stallion,0.821,0.863,6.0,-3.159,1.0,0.00824,0.0,0.0377,0.874,180.013,154324.0,4.0
1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,Pop Smoke,0.709,0.548,10.0,-8.493,1.0,0.65,1.59e-06,0.133,0.543,83.995,160000.0,4.0
39Yp9wwQiSRIDOvrVg7mbk,THE SCOTTS,Kid Cudi,0.716,0.537,0.0,-7.648,0.0,0.233,0.0,0.157,0.28,129.979,165978.0,4.0
2FhEj9lvEIaJihjFprRrGt,Snitching (feat. Quavo & Future),Future,0.944,0.579,8.0,-4.961,1.0,0.0381,0.0,0.253,0.769,135.033,259346.0,4.0
,Bad Bitch From Tokyo (Intro),Pop Smoke,,,,,,,,,,,,
3NWrHCwvyII4fTx05PN3IO,Enjoy Yourself (feat. Karol G),KAROL G,0.764,0.676,11.0,-6.761,0.0,0.389,0.0,0.215,0.461,97.02,197938.0,4.0
3eV2WT9YhfzkxbufnBF8wK,Creature (feat. Swae Lee),Swae Lee,0.794,0.717,7.0,-5.73,1.0,0.0511,0.0,0.195,0.372,141.881,202816.0,4.0
16kqEZBfhhK8XlQpauKej1,I Love My Country,Florida Georgia Line,0.538,0.941,4.0,-3.582,1.0,0.0227,0.0,0.302,0.585,140.044,184554.0,4.0
2kJwzbxV2ppxnQoYw4GLBZ,If the World Was Ending - feat. Julia Michaels,Julia Michaels,0.464,0.473,1.0,-10.086,1.0,0.866,0.0,0.109,0.604,75.801,208687.0,4.0
4TCc369aRPRubv1m8R1TBG,Got What I Got,Jason Aldean,0.512,0.58,3.0,-6.658,0.0,0.621,1.72e-05,0.513,0.303,159.847,178147.0,3.0
4EivmOT13NMpNSfTKn9p4s,Like That (feat. Gucci Mane),Gucci Mane,0.879,0.499,4.0,-6.027,0.0,0.24,0.0,0.0967,0.405,106.043,163173.0,4.0
02LPxsehaIst1MW8wLtiyt,Here And Now,Kenny Chesney,0.509,0.814,9.0,-3.576,1.0,0.0484,0.0,0.12,0.712,148.034,171493.0,4.0
45npF3MKvCa1sO7s4y7qBf,Said Sum,Moneybagg Yo,0.929,0.667,8.0,-6.789,0.0,0.0185,0.0,0.1,0.274,126.998,155168.0,4.0
1ENdcyhqdylaLsPVgB83qq,Rags2Riches (feat. ATR Son Son),ATR Son Son,0.904,0.252,5.0,-17.54,0.0,0.294,0.0,0.104,0.227,117.994,167184.0,4.0
