id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Year
4XTuSMs47SIg35KxhNIUGe,White Winter Hymnal,Fleet Foxes,0.629,0.534,6,-9.054,0,0.437,3.33e-06,0.328,0.649,124.964,147027,4,2017
2Yc3aWoe4P0l5V27Li6vNC,I'm Only Human After All,"John ""The Ragin Cajun"" Jones",0.666,0.592,9,-7.568,1,0.364,0.0,0.232,0.709,149.873,197309,4,2017
0HV1cGoX5ASBlPA1pqH8fG,Every Other Freckle,alt-J,0.528,0.707,2,-7.626,1,0.625,0.0355,0.116,0.502,143.802,216004,4,2017
4OigZ61GmamXid9hsu71GV,Maria,Tiago Bettencourt,0.391,0.352,8,-5.92,0,0.087,2.03e-05,0.136,0.304,150.55,279547,4,2017
2vSYmvbXodsBVZKdWwKa2m,Sleep By Rivers,Kyle Lionhart,0.639,0.361,9,-13.296,1,0.67,0.000333,0.121,0.407,86.53,241023,4,2017
7iL6o9tox1zgHpKUfh9vuC,In Da Club,50 Cent,0.899,0.713,6,-2.752,0,0.255,0.0,0.0708,0.777,90.051,193467,4,2017
7q2vQa5a1LCqEbssxR1QXF,Cigarette Daydreams,Cage The Elephant,0.637,0.676,2,-3.427,1,0.0832,0.0,0.0819,0.275,113.94,208766,4,2017
5lWIpVQRlyiR06B6PAYk9t,Sweet Girl,Kyle Lionhart,0.66,0.373,2,-11.335,1,0.683,1.79e-06,0.0925,0.479,89.887,145567,4,2017
4g5ZBMYV1onDqb09NIpaWz,After you’ve gone,Salvador Sobral,0.743,0.331,5,-11.779,0,0.838,0.0,0.144,0.809,136.389,117283,4,2017
1Q3t9fWvHUXKsMmpD2XpUu,Cold Cold Cold,Cage The Elephant,0.549,0.789,5,-6.071,1,0.0178,6.68e-05,0.059,0.715,136.125,214387,4,2017
3oSnMDaL0WsWyp2Gy80ulq,Blackbird,Fat Freddy's Drop,0.72,0.791,7,-6.902,0,0.0377,0.73,0.504,0.535,95.01,567459,4,2017
0YtFqZhheQZIrVc0qbqL8D,Re-tratamento,Da Weasel,0.841,0.475,4,-7.512,1,0.0743,0.000506,0.115,0.451,174.963,245693,4,2017
6sSu6bHOIEe48kU7R3xj34,Nara,alt-J,0.514,0.52,4,-7.8,1,0.451,0.641,0.12,0.0824,146.874,296058,4,2017
1Y5bCvR2kEdEeAmMHftGUm,Moving Forward,Kyle Lionhart,0.619,0.3,5,-12.9,1,0.803,0.000305,0.104,0.245,111.976,266262,4,2017
3l2K1gEKG6wwrguFthojTd,Desfado,Ana Moura,0.704,0.577,2,-5.641,1,0.261,0.0,0.133,0.882,119.874,155520,4,2017
2JzD6bamosfIkcLVJ0Q1VQ,Carta - Acoustic Version,Tiago Bettencourt,0.351,0.511,0,-10.761,1,0.588,0.0108,0.968,0.275,154.033,294747,4,2017
3UjSOJ00E1eLMcayBm827Q,Amar pelos Dois,Salvador Sobral,0.21,0.0959,5,-17.767,1,0.854,0.00355,0.261,0.167,175.914,185080,3,2017
0X0Lz7LwpiIWcdGqVWaxXD,Mess Around,Cage The Elephant,0.423,0.931,4,-5.229,0,0.0122,0.00103,0.629,0.605,150.385,173173,4,2017
1bidGYLF9SSG4QfS3byUv6,Tudo O Que Eu Te Dou,Pedro Abrunhosa,0.423,0.113,3,-18.047,1,0.947,0.27,0.0876,0.148,94.159,233533,4,2017
4Y0GAZlDxSQoq27K6uTNOr,Sara,Tiago Bettencourt,0.653,0.499,9,-12.361,1,0.644,0.12,0.208,0.365,100.973,292720,4,2017
13TJTw8ibmhFdDWu2xPyB8,Lado lunar,Rui Veloso,0.665,0.799,0,-7.703,1,0.0192,3.08e-05,0.0795,0.806,121.785,274000,4,2017
